key	data	_attribution
suara tolong kupas	sound/tolongkupas.m4a	iniii dari WowGGGearingggggggggggggggggggggggg
suara kipas0	https://cdn.freesound.org/previews/634/634718_7853647-lq.mp3	fan.ogg by Krosenut -- https://freesound.org/s/634718/ -- License: Creative Commons 0
suara step0	https://cdn.freesound.org/previews/223/223153_2792951-lq.mp3	dirt/gravel footstep 4 by Yoyodaman234 -- https://freesound.org/s/223153/ -- License: Creative Commons 0
suara ambil	sound/Minecraft - Item Pop (Sound Effect).mp3	
suara lompat	https://cdn.freesound.org/previews/703/703922_15265658-lq.mp3	cloth1.ogg by cuanmamang -- https://freesound.org/s/703922/ -- License: Creative Commons 0
suara kartu	https://cdn.freesound.org/previews/817/817571_15868577-lq.mp3	shuffle02 by SilverDubloons -- https://freesound.org/s/817571/ -- License: Creative Commons 0
suara slepet	https://cdn.freesound.org/previews/529/529925_11751070-lq.mp3	Whip Crack.m4a by SciFiSounds -- https://freesound.org/s/529925/ -- License: Creative Commons 0
suara boom	https://cdn.freesound.org/previews/553/553153_10912485-lq.mp3	Firework Single ( Explosion ) by EminYILDIRIM -- https://freesound.org/s/553153/ -- License: Attribution 4.0
suara metalbar	sound/metal-bar.mp3	Dari https://www.myinstants.com/en/instant/metal-bar-87413/
